40
9
9	5	4	9	0	9	4	10	4	3	2	0	5	3	9	2	6	10	2	9	0	8	8	1	4	3	9	0	0	2	9	4	1	2	8	10	5	8	1	8
24	22	27	23	27	23	31	37	27	37	21	37	37	37	31	27	30	34	36	29	24	20	30	27	20	34	23	26	32	22	27	20	21	36	23	30	24	27	29	37
11	11	8	7	11	9	6	9	13	8	9	8	10	10	7	14	10	8	11	11	13	10	6	9	10	6	6	13	11	5	11	11	9	10	12	11	9	8	13	10
11	6	5	11	6	7	8	8	5	6	9	8	6	10	4	10	9	4	5	7	7	8	5	9	8	10	6	6	9	6	6	12	5	9	9	5	10	10	7	9
13	6	7	12	7	8	10	9	5	6	11	6	7	7	5	11	6	5	12	12	12	7	6	7	7	6	6	7	8	10	7	11	9	9	6	7	11	7	5	10
10	9	7	8	11	9	9	12	7	10	13	7	13	11	13	12	12	9	10	15	9	14	12	11	11	9	7	13	9	9	13	9	7	10	10	7	10	10	13	13
14	10	11	7	7	13	11	5	9	9	7	8	12	7	10	7	9	7	7	14	13	9	9	7	8	8	6	11	11	9	7	9	7	7	9	5	11	13	10	8
12	6	5	7	7	11	4	5	9	4	12	6	6	9	9	7	11	11	8	7	13	8	9	11	9	11	5	6	10	6	10	11	10	10	6	10	12	6	5	9
8	8	5	6	8	7	8	4	10	4	12	9	7	6	8	6	11	10	10	10	12	10	6	11	7	9	8	8	7	7	9	9	5	9	6	8	7	7	7	10
13	12	7	9	8	13	7	7	13	6	12	8	7	8	10	12	8	11	9	9	14	14	10	8	9	10	7	8	12	11	10	13	12	12	8	11	15	9	9	11
1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
12	8	13	14	7	13	12	5	7	8	11	8	13	15	8	10	10	11	8	11	10	7	7	15	9	9	13	11	10	9	10	16	10	15	6	7	12	10	9	12
9	5	5	9	8	10	5	8	4	9	10	9	5	13	6	11	11	9	6	7	11	8	7	6	10	6	6	4	7	5	10	9	7	12	8	8	10	6	6	6
8	3	4	11	9	9	4	3	4	5	9	4	6	7	9	7	11	6	7	6	9	7	5	12	7	5	5	8	7	4	11	10	6	6	5	6	8	11	9	10
13	9	7	7	6	13	11	6	8	12	11	11	8	15	10	11	11	11	8	12	11	12	7	12	9	10	7	6	12	10	8	9	10	10	7	11	9	7	11	7
11	10	12	8	8	14	6	11	7	13	14	6	9	13	13	9	11	9	10	11	11	10	11	14	12	8	11	10	10	6	9	10	6	11	11	10	11	12	14	11
13	7	5	8	10	9	9	6	9	9	9	9	5	10	6	9	8	6	6	9	13	4	9	9	11	4	6	8	8	7	8	8	4	11	6	7	7	8	6	8
14	5	8	10	6	9	5	6	10	7	7	6	8	11	8	12	9	11	9	11	13	11	7	12	8	6	8	8	10	8	13	12	5	10	6	5	11	11	7	10
10	5	6	9	7	10	11	9	10	8	10	6	8	14	9	9	10	9	12	12	10	8	8	8	7	8	11	11	6	8	14	12	7	8	10	10	7	12	12	12
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
